brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
10,1591.0,4,0,46000,10,520,3,750000.0,2017,5,1
9,1199.0,4,0,18093,10,1852,1,794000.0,2021,5,1
28,1199.0,4,2,2228,10,1655,1,690000.0,2023,5,0
9,1997.0,4,3,60016,10,479,1,1425000.0,2019,5,0
18,1373.0,4,0,58000,10,354,3,545000.0,2017,5,1
27,1498.0,1,0,65000,10,1320,3,395000.0,2014,5,0
28,1373.0,2,0,35000,10,1165,1,990000.0,2022,5,0
18,1373.0,4,2,104705,10,352,1,418000.0,2015,5,0
18,998.0,0,2,72000,10,1825,1,335000.0,2014,5,1
18,998.0,4,0,36218,10,339,1,395000.0,2016,5,0
27,1798.0,4,1,48000,10,1524,1,1895000.0,2019,5,0
20,2143.0,1,1,68000,10,1126,3,2100000.0,2014,5,0
8,1496.0,4,0,36000,10,608,1,1075000.0,2021,5,1
29,2393.0,1,2,157000,10,942,1,1575000.0,2017,7,1
10,1591.0,4,1,65000,10,520,3,690000.0,2016,5,1
10,1591.0,4,1,65039,10,515,3,750000.0,2016,5,0
10,1197.0,4,0,78010,10,896,1,449000.0,2017,5,1
18,998.0,4,0,58033,10,1832,1,325000.0,2014,5,1
10,1197.0,4,0,40379,10,894,1,652000.0,2018,5,0
10,1582.0,1,1,65000,10,482,1,1025000.0,2017,5,0
18,998.0,0,2,31999,10,1825,1,535000.0,2020,5,1
10,1197.0,4,3,37981,10,896,1,423000.00000000006,2016,5,1
18,1197.0,4,0,59587,10,239,3,587000.0,2021,5,1
28,1199.0,4,3,6100,10,164,1,825000.0,2023,5,0
18,1197.0,4,0,28440,10,242,1,615000.0,2018,5,1
24,999.0,4,1,49814,10,1099,1,561000.0,2021,5,1
24,1198.0,4,0,63493,10,1124,1,262000.0,2015,5,0
10,1591.0,4,0,86252,10,515,3,705000.0,2016,5,0
9,1497.0,4,1,72000,10,1131,3,425000.0,2014,7,1
28,1497.0,1,0,35000,10,1150,1,675000.0,2018,5,0
30,1197.0,4,1,70457,10,1208,1,575000.0,2014,5,0
15,2179.0,1,1,120000,10,736,2,1000000.0,2012,5,0
29,2393.0,1,0,79000,10,954,1,1825000.0,2019,7,1
20,2143.0,1,0,110000,10,1126,4,1345000.0,2013,5,0
18,1197.0,4,0,65151,10,1547,3,333000.0,2015,5,1
10,1197.0,4,1,68000,10,870,3,475000.0,2017,5,1
9,1199.0,4,0,42000,10,1002,1,415000.00000000006,2015,5,1
26,999.0,4,0,10000,10,1681,1,699000.0,2023,7,0
18,998.0,4,1,25311,10,326,1,338000.0,2016,5,1
9,1497.0,4,1,56987,10,382,1,555000.0,2014,5,0
20,2987.0,1,0,77869,10,40,3,2649000.0,2014,7,0
9,1497.0,4,0,36517,10,399,1,345000.0,2013,5,1
25,2995.0,4,1,15000,10,319,1,15000000.0,2023,5,0
20,2143.0,1,0,43000,10,1226,1,3699000.0,2018,5,0
18,1197.0,4,0,57652,10,242,1,583000.0,2020,5,1
20,2987.0,1,0,35800,10,579,1,3650000.0,2019,5,0
10,1497.0,4,1,1700,10,501,1,2045000.0,2024,5,0
18,1197.0,4,0,49140,10,1573,1,575000.0,2018,5,1
10,1086.0,0,1,73890,10,1423,1,400000.0,2019,5,1
10,1591.0,4,0,34000,10,520,1,1145000.0,2019,5,1
18,998.0,0,2,75283,10,1825,1,585000.0,2020,5,1
20,1991.0,4,0,56000,10,574,3,1475000.0,2014,5,0
27,999.0,4,2,28200,10,1331,3,770000.0,2021,5,0
18,1197.0,4,2,43671,10,238,1,542000.0,2018,5,0
14,2199.0,1,1,42000,10,312,3,2900000.0,2020,7,0
28,1199.0,4,1,77961,10,1632,1,362000.0,2018,5,1
10,1353.0,4,0,41452,10,511,1,1595000.0,2022,5,0
17,2179.0,1,0,42071,10,1973,3,550000.0,2014,7,1
17,1497.0,1,3,58797,10,1111,3,850000.0,2021,7,1
10,1497.0,4,1,8300,10,509,1,1895000.0,2023,5,0
21,1956.0,2,0,27153,10,2012,1,1800000.0,2022,5,0
13,1956.0,1,0,52373,10,439,1,1150000.0,2018,5,1
9,1498.0,1,0,88000,10,190,1,745000.0,2018,5,0
9,1497.0,4,2,63088,10,394,1,666000.0,2017,5,0
18,998.0,4,0,27270,10,1833,1,575000.0,2023,5,1
9,1198.0,4,2,54000,10,270,3,311000.0,2016,5,0
10,1582.0,1,1,92000,10,482,1,1149000.0,2018,5,0
18,1197.0,4,0,43351,10,1556,1,396000.0,2015,5,1
9,1497.0,4,0,48000,10,393,1,811000.0,2019,5,0
21,1497.0,2,0,21000,10,2012,1,1800000.0,2022,5,0
9,1497.0,4,0,67298,10,381,1,497000.0,2016,5,0
12,1999.0,1,0,58100,10,696,3,3550000.0,2018,5,0
17,1997.0,4,3,10442,10,1620,1,1244000.0,2021,4,0
17,2179.0,1,2,90000,10,1956,1,850000.0,2016,7,0
27,1798.0,4,1,66000,10,1192,1,1700000.0,2019,5,0
10,998.0,4,1,23502,10,1748,1,1075000.0,2022,5,0
22,1998.0,4,0,60000,10,474,1,2499000.0,2018,5,0
26,999.0,4,0,12619,10,1073,3,352000.0,2020,5,0
10,1591.0,4,1,77394,10,1778,3,440000.00000000006,2013,5,1
21,1451.0,4,1,13900,10,837,1,1695000.0,2022,5,0
27,1968.0,1,0,46000,10,1517,1,975000.0,2015,5,0
18,1197.0,4,1,30000,10,239,1,525000.0,2020,5,1
10,1197.0,4,2,12993,10,906,1,471000.0,2018,5,1
13,1368.0,4,0,37318,10,446,1,1300000.0,2019,5,0
30,1968.0,1,0,66000,10,1671,4,1425000.0,2017,5,0
18,1248.0,1,1,85000,10,653,1,665000.0,2015,7,1
28,1497.0,1,2,29463,10,1176,1,1121000.0,2023,5,0
10,1591.0,4,1,56000,10,490,3,825000.0,2018,5,1
9,1498.0,4,0,32000,10,414,1,970000.0,2020,5,0
17,2179.0,1,0,96000,10,1971,1,725000.0,2016,7,1
21,998.0,2,1,41030,10,2013,1,2100000.0,2023,5,0
10,998.0,4,3,11402,10,1751,1,900000.0,2021,5,1
9,1497.0,4,0,37000,10,414,1,975000.0,2019,5,0
26,999.0,4,1,44284,10,1077,1,328000.0,2020,5,0
15,1999.0,1,1,105000,10,545,1,2750000.0,2017,5,0
18,1462.0,4,0,59209,10,346,1,744000.0,2019,5,1
9,1199.0,4,1,40000,10,1851,3,560000.0,2017,5,1
10,1197.0,0,3,27125,10,784,1,455000.0,2019,5,1
10,1197.0,4,0,38987,10,774,1,479000.0,2015,5,0
18,1248.0,1,1,98000,10,364,1,599000.0,2015,5,1
0,2967.0,1,1,44000,10,1267,1,6995000.0,2020,7,0
18,1197.0,4,0,31000,10,1556,1,345000.0,2013,5,1
18,1462.0,4,1,38000,10,1939,1,1025000.0,2020,6,0
17,2179.0,1,1,72000,10,1957,3,999000.0,2016,7,0
18,998.0,4,0,38170,10,338,3,395000.0,2017,5,0
18,998.0,4,0,20624,10,342,1,515000.00000000006,2020,5,0
28,1493.0,2,1,50383,10,1162,1,995000.0,2022,5,0
10,1493.0,1,0,7000,10,129,1,2250000.0,2024,6,0
9,1497.0,4,1,69066,10,385,1,364000.0,2014,5,1
17,2179.0,1,1,42000,10,1977,1,695000.0,2015,7,1
20,2143.0,1,0,47000,10,421,1,1595000.0,2014,5,0
28,1956.0,1,0,26000,10,822,1,2150000.0,2022,5,0
10,1197.0,4,2,58000,10,773,1,461000.00000000006,2016,5,0
18,1197.0,4,0,46000,10,1556,1,675000.0,2020,5,1
10,1197.0,4,1,42767,10,896,1,350000.0,2014,5,1
9,1199.0,4,3,25169,10,191,1,648000.0,2021,5,1
10,1591.0,4,0,43000,10,503,1,1099000.0,2019,5,0
9,1497.0,4,0,47843,10,406,3,335000.0,2012,5,1
21,1996.0,1,1,29170,10,757,1,3200000.0,2021,6,0
18,1248.0,1,2,87000,10,1814,3,875000.0,2018,5,0
17,1197.0,4,1,13987,10,1950,1,983000.0,2022,5,0
18,1197.0,4,2,56000,10,1581,3,385000.0,2014,5,1
10,1582.0,1,1,49958,10,486,1,945000.0,2017,5,1
18,1462.0,4,1,14500,10,347,1,1145000.0,2023,5,0
18,1197.0,4,0,58014,10,1556,3,399000.0,2013,5,1
9,1497.0,4,0,48000,10,406,1,364000.0,2013,5,1
18,1197.0,4,2,99005,10,1561,3,350000.0,2014,5,1
18,1197.0,4,1,75000,10,1556,1,445000.0,2014,5,1
29,1496.0,4,1,78156,10,1997,1,660000.0,2018,5,0
30,1498.0,1,0,36432,10,206,3,520000.0,2016,5,0
