Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
10,1197 cc,4,1,30300,10,2022,3,425000.0,2015,5,1
21,2143 cc,1,1,29000,10,455,1,2100000.0,2019,5,0
1,1995 cc,1,0,10000,10,1899,1,3845000.000000001,2022,5,0
9,1497 cc,4,1,62188,10,433,1,525000.0,2015,5,1
10,1197 cc,4,0,38148,10,822,3,381000.0,2017,5,1
29,1197 cc,4,3,15541,10,805,1,790000.0,2022,5,1
9,1497 cc,4,3,40000,10,440,1,695000.0,2017,5,0
26,999 cc,4,0,14438,10,1713,1,649000.0,2020,7,1
10,1197 cc,4,1,39542,10,830,3,392000.0,2016,5,0
9,1199 cc,4,1,47000,10,994,1,699000.0,2019,5,0
14,1493 cc,1,1,50154,10,1499,1,1250000.0,2021,5,0
29,2494 cc,1,0,90000,10,954,1,925000.0,2014,7,1
30,1598 cc,4,2,78039,10,1740,3,395000.0,2014,5,1
1,2993 cc,1,0,29500,10,1929,1,10400000.0,2023,7,0
19,1373 cc,4,2,82150,10,703,3,525000.0,2012,7,1
17,1451 cc,4,3,48019,10,888,1,1218000.0,2020,5,0
10,998 cc,4,0,12000,10,1776,1,1025000.0,2022,5,1
1,1995 cc,1,0,75000,10,56,1,3525000.0,2019,5,0
28,1199 cc,4,1,69105,10,1686,1,450000.0,2019,5,0
14,1493 cc,1,1,35000,10,1467,1,1750000.0,2021,5,0
28,1997 cc,2,0,16000,10,1149,1,1025000.0,2022,5,0
18,1997 cc,1,0,84962,10,1982,1,872000.0000000001,2017,7,0
0,1781 cc,4,1,43000,10,95,1,775000.0,2011,5,0
9,1497 cc,4,1,32419,10,440,3,630000.0,2018,5,0
24,999 cc,4,0,22065,10,1101,1,526000.0,2021,5,1
10,1197 cc,0,3,57014,10,849,1,641000.0,2022,5,1
8,1499 cc,4,2,63500,10,652,1,491000.0,2014,5,0
9,1497 cc,4,0,54000,10,431,1,475000.0,2014,5,1
30,1968 cc,1,1,57000,10,1704,3,2100000.0,2018,5,0
26,999 cc,4,0,33140,10,1019,3,304000.0,2021,5,1
27,1598 cc,4,0,47300,10,1309,1,495000.0,2016,5,0
19,1197 cc,4,0,63000,10,1889,1,521000.0,2020,5,1
21,2987 cc,1,0,104000,10,1089,1,1995000.0,2015,5,0
21,1991 cc,4,0,72100,10,295,1,1999000.0,2016,5,0
10,1591 cc,4,0,46000,10,532,1,899000.0,2018,5,1
18,2179 cc,1,0,87000,10,1987,1,821000.0000000001,2016,7,1
9,2354 cc,4,0,78343,10,312,1,990000.0,2018,5,0
9,1497 cc,4,3,46500,10,430,1,625000.0,2015,5,0
30,999 cc,4,0,24000,10,1626,3,1275000.0,2022,5,0
18,2179 cc,1,0,58000,10,1987,3,825000.0,2016,7,1
14,1497 cc,4,0,4800,10,1482,1,1625000.0,2023,5,0
29,1798 cc,4,0,39600,10,498,1,1025000.0,2017,5,0
8,1499 cc,4,0,54391,10,653,1,501000.0,2021,5,1
14,998 cc,4,3,18368,10,1506,1,995000.0,2023,5,0
14,1493 cc,1,1,29384,10,1498,1,1085000.0,2020,5,1
10,1197 cc,4,1,50554,10,830,1,479000.0,2016,5,0
14,1493 cc,1,0,45001,10,323,1,1750000.0,2022,6,0
10,1999 cc,4,0,56751,10,666,1,975000.0,2017,5,0
9,1497 cc,4,0,69000,10,441,1,850000.0,2018,5,0
18,2179 cc,1,1,65308,10,1989,1,949000.0,2017,7,1
