city,model,price,insurance,fuel_type,seats,kms_driven,transmission,year_of_manufacture,engine,power,mileage,ownership
Chennai,Ertiga VXI,630000.0,Comprehensive,Petrol,7,54000,Manual,2013.0,1373,93.7,16.02,First Owner
Chennai,Beat Diesel,114999.99999999999,Expired,Diesel,5,150000,Manual,2013.0,936,57.6,25.44,First Owner
Chennai,XUV700 AX7 BSVI,1600000.0,Expired,Petrol,7,60000,Manual,2021.0,1999,197.13,13.0,Second Owner
Chennai,Swift ZXI Plus,692000.0,Third Party,Petrol,5,25236,Manual,2022.0,1197,88.5,22.38,First Owner
Chennai,S Cross Delta DDiS 200 SH,720000.0,Expired,Diesel,5,120000,Manual,2018.0,1248,88.5,25.1,First Owner
Chennai,Vitara Brezza ZDi AMT,800000.0,Expired,Diesel,5,60000,Automatic,2019.0,1248,88.5,24.3,First Owner
Chennai,Thar LX Hard Top AT,1800000.0,Expired,Petrol,4,10000,Automatic,2024.0,1997,150.19,8.0,First Owner
Chennai,Baleno Zeta,850000.0,Comprehensive,Petrol,5,20027,Manual,2020.0,1197,81.8,21.01,First Owner
Chennai,Polo 1.0 MPI Comfortline,524000.0,Comprehensive,Petrol,5,35163,Manual,2019.0,999,75.1,17.74,Second Owner
Chennai,X5 xDrive 30d xLine,7900000.0,Comprehensive,Diesel,5,43000,Automatic,2020.0,2993,261.5,13.38,First Owner
Chennai,Amaze VX CVT i-VTEC,550000.0,Expired,Petrol,5,70000,Automatic,2018.0,1199,88.7,18.1,First Owner
Chennai,Carnival Limousine Plus,3500000.0,Comprehensive,Diesel,7,65000,Automatic,2022.0,2199,197.26,19.12,First Owner
Chennai,Celerio ZXI AT,400000.0,Comprehensive,Petrol,5,40000,Automatic,2016.0,998,67.04,23.1,First Owner
Chennai,i20 1.2 Asta Option,580000.0,Expired,Petrol,5,40000,Manual,2018.0,1197,81.83,18.6,Third Owner
Chennai,City i-VTEC CVT V,649000.0,Comprehensive,Petrol,5,61383,Automatic,2017.0,1497,117.6,18.0,Second Owner
Chennai,Vento 1.2 TSI Highline Plus AT,798000.0,Comprehensive,Petrol,5,43955,Automatic,2019.0,1197,103.2,18.19,Second Owner
Chennai,XUV700 AX7 AT Luxury Pack BSVI,2069000.0000000002,Third Party,Petrol,7,48910,Automatic,2022.0,1999,197.13,11.0,First Owner
Chennai,Astor Savvy CVT BSVI,1625000.0,Comprehensive,Petrol,5,3000,Automatic,2023.0,1498,108.49,14.82,First Owner
Chennai,Fortuner 3.0 Diesel,1150000.0,Comprehensive,Diesel,7,235000,Manual,2011.0,2982,81.8,11.5,Second Owner
Chennai,City i-VTEC CVT ZX,852000.0,Comprehensive,Petrol,5,53047,Automatic,2019.0,1497,117.6,18.0,First Owner
Chennai,Polo 1.0 MPI Highline Plus,598000.0,Expired,Petrol,5,42920,Manual,2018.0,999,75.0,18.78,First Owner
Chennai,X1 sDrive20d xLine,3375000.0,Comprehensive,Diesel,5,46000,Automatic,2021.0,1995,187.74,19.62,First Owner
